"id_artist"	"artist"	"webartist"
82205	50 cent	50cent
25560	aaron neville	aaronneville
23332	abba	abba
12194	ac/dc	acdc
14865	aerosmith	aerosmith
9843	afrika bambaataa	afrikabambaataa
20547	al green	algreen
20463	alice cooper	alicecooper
60140	all saints	allsaints
20875	allman brothers band	allmanbrothersband
88718	amy winehouse	amywinehouse
69077	andy kaufman	andykaufman
12173	animals	animals
60432	archie bell	archiebell
10204	aretha franklin	arethafranklin
20605	b.b. king	bbking
20900	band	band
42955	band of gypsies	bandofgypsies
9877	beach boys	beachboys
15222	beastie boys	beastieboys
11636	beatles	beatles
10893	bee gees	beegees
26214	belinda carlise	belindacarlise
69306	beyonce	beyonce
21223	bill withers	billwithers
20593	billy joel	billyjoel
10150	black sabbath	blacksabbath
13839	blondie	blondie
42785	bo diddley	bodiddley
20307	bob dylan	bobdylan
20639	bob marley	bobmarley
21287	bobby darin	bobbydarin
18637	bonnie raitt	bonnieraitt
21257	booker t.& the mg's	bookertthemgs
14951	boston	boston
20775	bruce springsteen	brucespringsteen
28238	buddy holly	buddyholly
21261	buffalo springfield	buffalospringfield
31161	byrds	byrds
20698	carl perkins	carlperkins
9952	carpenters	carpenters
12502	cheap trick	cheaptrick
17461	chic	chic
21271	chubby checker	chubbychecker
20354	chuck berry	chuckberry
24078	cindy lauper	cindylauper
10895	clash	clash
70601	coldplay	coldplay
21282	cream	cream
19090	creedence clearwater revival	creedenceclearwaterrevival
20473	crosby stills nash & young	crosbystillsnashyoung
12484	cure	cure
55934	daft punk	daftpunk
10157	david bowie	davidbowie
20560	deborah harry	deborahharry
10282	deep purple	deeppurple
21452	del shannon	delshannon
9840	depeche mode	depechemode
39665	derek and the dominos	derekandthedominos
11981	diana ross	dianaross
25496	dionne warwick	dionnewarwick
31164	dixie cups	dixiecups
31419	dolly parton	dollyparton
31477	domino fats	dominofats
20251	donna summer	donnasummer
12175	doors	doors
17605	drifters	drifters
12607	eagles	eagles
10380	earth wind & fire	earthwindfire
20595	elton john	eltonjohn
94768	elvis costello	elviscostello
21133	elvis presley	elvispresley
76243	eminem	eminem
20450	eric clapton	ericclapton
11695	europe	europe
10280	eurythmics	eurythmics
20509	everly brothers	everlybrothers
21639	five satins	fivesatins
21641	flamingos	flamingos
9847	fleetwood mac	fleetwoodmac
10208	foreigner	foreigner
17459	four tops	fourtops
25142	frank sinatra	franksinatra
124358	frankie lymon and the teenagers	frankielymonandtheteenagers
88688	franz ferdinand	franzferdinand
55722	fun lovin' criminals	funlovincriminals
21489	gene vincent	genevincent
20559	george harrison	georgeharrison
21265	glen campbell	glencampbell
23900	gloria gaynor	gloriagaynor
107710	gnarls barkley	gnarlsbarkley
50527	green day	greenday
15159	guns n' roses	gunsnroses
82707	hollywood studio symphony	hollywoodstudiosymphony
20710	iggy pop	iggypop
14679	isley brothers	isleybrothers
21496	jackie wilson	jackiewilson
20414	jackson browne	jacksonbrowne
