"id"	"tag"
1	country rock
1	singer-songwriter
1	slow
1	confident
1	desolation
1	love
1	melancholic
1	romantic
1	soft
2	funk rock
2	rock blues
2	determined
2	exciting
2	groove
2	powerful
2	rhythmic
3	rhythm and blues
3	rock & roll
3	rock blues
3	singer-songwriter
3	adrenaline
3	cool
3	crowd
3	determined
3	energy
3	exciting
3	fast
3	groove
3	rhythmic
3	strong
4	rock pop
4	singer-songwriter
4	bright
4	carefree
4	countryside
4	rhythmic
4	travel
5	country rock
5	folk contemporaneo
5	singer-songwriter
5	countryside
5	energy
5	repetitive
5	rhythmic
5	travel
6	reggae
6	rocksteady
6	catchy
6	exotic
6	movement
6	rhythmic
6	summertime
7	rock blues
7	singer-songwriter
7	slow
7	desolation
7	lonely
7	love
7	melancholic
7	rhythmic
7	soft
8	country rock
8	singer-songwriter
8	countryside
8	determined
8	energy
8	rhythmic
8	travel
9	electronic
9	rock pop
9	energy
9	fast
9	growing
9	repetitive
9	rhythmic
10	country rock
10	folk contemporaneo
10	romantic
10	singer-songwriter
10	acoustic
10	confident
10	countryside
10	delicate
10	gentle
10	intimate
10	lonely
10	love
10	melancholic
10	romantic
10	serene
10	soft
10	soulful
11	brit pop
11	new wave
11	agitated
11	chaotic
11	confused
11	dark
11	grotesque
11	insistent
11	psychic
11	weird
12	hard rock
12	chaotic
12	confused
12	fast
12	noise
12	powerful
12	rhythmic
13	hard rock
13	aggressive
13	agitated
13	chaotic
13	confused
13	noise
13	rhythmic
14	brit pop
14	new wave
14	rock pop
14	singer-songwriter
14	energy
14	fast
14	hippy
14	movement
14	rhythmic
14	travel
15	hard rock
15	punk
15	adrenaline
15	energy
15	fast
15	rhythmic
15	serene
15	weird
16	hard rock
16	adrenaline
16	chaotic
16	fast
16	repetitive
16	rhythmic
17	rock & roll
17	singer-songwriter
17	ballroom
17	catchy
17	movement
17	rhythmic
17	travel
18	rock & roll
18	singer-songwriter
18	ballroom
18	breezy
18	bright
18	carefree
18	catchy
18	energy
18	exciting
18	groove
18	growing
18	movement
18	optimistic
18	playful
18	remembrance
18	rhythmic
18	virtuoso
19	country rock
19	rock & roll
19	countryside
19	energy
19	fast
19	movement
19	rhythmic
20	rhythm and blues
20	rock & roll
20	rock '60
20	singer-songwriter
20	ballroom
20	catchy
20	energy
20	fast
20	movement
20	optimistic
20	playful
20	rhythmic
20	virtuoso
21	rhythm and blues
21	rock & roll
21	singer-songwriter
21	ballroom
21	breezy
21	carefree
21	cool
21	energy
21	movement
21	remembrance
21	rhythmic
22	rock & roll
22	catchy
22	energy
22	fast
22	movement
22	rhythmic
23	rhythm and blues
23	rock & roll
23	rock '50
23	singer-songwriter
23	ballroom
23	bizarre
23	carefree
23	catchy
23	energy
23	enthusiastic
23	exciting
23	fast
23	graceful
23	movement
23	playful
23	rhythmic
23	strong
23	vintage
23	virtuoso
24	rhythm and blues
24	rock & roll
24	rock '50
24	singer-songwriter
24	adrenaline
24	ballroom
24	bizarre
24	exciting
24	glad
24	movement
24	rhythmic
24	virtuoso
25	classic metal
25	hard rock
25	adrenaline
25	agitated
25	powerful
25	psychic
25	repetitive
25	rhythmic
26	classic metal
26	hard rock
26	adrenaline
26	angry
26	energy
26	powerful
26	strong
